p.code	p.code.clean	short.name
0806	0806	grapes
2106	2106	food preparations
2710	2710	petroleum
2932	2932	chemicals
2934	2934	chemicals
2936	2936	vitamins
3003	3003	medicaments
3808	3808	insecticide
3926	3926	plastics incl. face shields
4202	4202	bags
6104	6XXX	clothing
6108	6XXX	clothing
6110	6XXX	clothing
6111	6XXX	clothing
6112	6XXX	clothing
6201	6XXX	clothing
6202	6XXX	clothing
6203	6XXX	clothing
6204	6XXX	clothing
6205	6XXX	clothing
6206	6XXX	clothing
6210	6210	textiles including PPE
6307	6307	textiles incl. face masks
6402	64XX	shoes
6403	64XX	shoes
6404	64XX	shoes
6505	6505	hats
7102	7102	diamonds
7108	7108	gold
7115	7115	things made from precious metals
7118	7118	coins
7321	7321	stoves
8407	8407	engines
8414	8414	air pumps
8415	8415	air conditioners
8424	8424	spray machines (e.g. fire extinguishers)
8433	8433	agricultural machines
8443	8443	printers
8470	8470	calculating machines
8501	8501	electric motors
8512	8512	car equipment
8525	8525	cameras
8544	8544	cables
8471	847X	computers
8473	847X	computers
8504	8504	electrical converters
8516	8516	heaters
8517	8517	cell phones
8523	8523	storage media
8528	8528	monitors
8542	8542	electronic circuits
8703	8703	cars
8708	8708	car parts
9018	9018	medical instruments
9025	9025	thermometers o.Ã¤.
9401	940X	furniture
9403	940X	furniture
9404	9404	bedding
9405	9405	lamps
9503	9503	toys
9504	9504	gaming consoles
9999	9999	Not specified